MAL_ID,Name,Genres,Type,Rating,Popularity
1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,R - 17+ (violence & profanity),39
5,Cowboy Bebop: Tengoku no Tobira,"Action, Drama, Mystery, Sci-Fi, Space",Movie,R - 17+ (violence & profanity),518
6,Trigun,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",TV,PG-13 - Teens 13 or older,201
7,Witch Hunter Robin,"Action, Mystery, Police, Supernatural, Drama, Magic",TV,PG-13 - Teens 13 or older,1467
8,Bouken Ou Beet,"Adventure, Fantasy, Shounen, Supernatural",TV,PG - Children,4369
15,Eyeshield 21,"Action, Sports, Comedy, Shounen",TV,PG-13 - Teens 13 or older,1003
16,Hachimitsu to Clover,"Comedy, Drama, Josei, Romance, Slice of Life",TV,PG-13 - Teens 13 or older,687
17,Hungry Heart: Wild Striker,"Slice of Life, Comedy, Sports, Shounen",TV,PG-13 - Teens 13 or older,3612
18,Initial D Fourth Stage,"Action, Cars, Sports, Drama, Seinen",TV,PG-13 - Teens 13 or older,1233
19,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,R+ - Mild Nudity,169
20,Naruto,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",TV,PG-13 - Teens 13 or older,8
21,One Piece,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",TV,PG-13 - Teens 13 or older,31
22,Tennis no Ouji-sama,"Action, Comedy, Sports, School, Shounen",TV,PG-13 - Teens 13 or older,1039
23,Ring ni Kakero 1,"Action, Shounen, Sports",TV,PG - Children,7333
24,School Rumble,"Comedy, Romance, School, Shounen",TV,PG-13 - Teens 13 or older,514
25,Sunabouzu,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",TV,R - 17+ (violence & profanity),1284
26,Texhnolyze,"Action, Sci-Fi, Psychological, Drama",TV,R+ - Mild Nudity,823
27,Trinity Blood,"Action, Supernatural, Vampire",TV,R - 17+ (violence & profanity),936
28,Yakitate!! Japan,"Comedy, Shounen",TV,PG-13 - Teens 13 or older,1666
29,Zipang,"Action, Military, Sci-Fi, Historical, Drama, Seinen",TV,PG-13 - Teens 13 or older,3985
30,Neon Genesis Evangelion,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",TV,PG-13 - Teens 13 or older,54
31,Neon Genesis Evangelion: Death & Rebirth,"Drama, Mecha, Psychological, Sci-Fi",Movie,R - 17+ (violence & profanity),833
32,Neon Genesis Evangelion: The End of Evangelion,"Sci-Fi, Dementia, Psychological, Drama, Mecha",Movie,R+ - Mild Nudity,195
